variant,comparison_split,feature,kind,psi,band,n_bins,n_baseline,n_comparison
clean,validation,mths_since_recent_inq_missing,numeric,0.0,stable,1,121342,162570
clean,validation,num_tl_120dpd_2m_missing,numeric,0.0,stable,1,121342,162570
clean,validation,sparse_bureau_missing,numeric,0.0,stable,1,121342,162570
clean,validation,installment_to_income,numeric,0.012559849413941651,stable,10,121342,162570
clean,validation,loan_to_income,numeric,0.0081754071347914,stable,10,121342,162570
clean,validation,credit_history_months,numeric,0.018229397353552827,stable,10,121342,162570
clean,validation,revol_bal_to_income,numeric,0.02531092729444039,stable,10,121342,162570
clean,validation,open_acc_ratio,numeric,0.0011247792886717484,stable,10,121342,162570
clean,validation,model_score,numeric,0.002917280878034673,stable,10,121342,162570
clean,test,funded_amnt,numeric,0.0232577093039365,stable,10,121342,282787
clean,test,home_ownership,categorical,0.012950663190268415,stable,4,121342,282787
clean,test,annual_inc,numeric,0.00797700027138894,stable,10,121342,282787
clean,test,verification_status,categorical,0.2338725348603382,attention,3,121342,282787
clean,test,issue_d,numeric,12.674324833007141,unstable,10,121342,282787
clean,test,purpose,categorical,0.003818860990446024,stable,11,121342,282787
clean,test,dti,numeric,0.03856223641851107,stable,10,121342,282787
clean,test,delinq_2yrs,numeric,0.008582086785446023,stable,2,121342,282787
clean,test,earliest_cr_line,numeric,0.056201746524198654,stable,10,121342,282787
clean,test,fico_range_low,numeric,0.025095658142024368,stable,10,121342,282787
clean,test,inq_last_6mths,numeric,0.040012421435700024,stable,3,121342,282787
clean,test,mths_since_last_delinq,numeric,0.027470853073675416,stable,10,121342,282787
clean,test,mths_since_last_record,numeric,0.17408128032740577,attention,10,121342,282787
clean,test,open_acc,numeric,0.02454226703656903,stable,10,121342,282787
clean,test,pub_rec,numeric,0.0345900586972975,stable,2,121342,282787
clean,test,revol_bal,numeric,0.03045762564291277,stable,10,121342,282787
clean,test,revol_util,numeric,0.06332302091636982,stable,10,121342,282787
clean,test,total_acc,numeric,0.005052696349515082,stable,10,121342,282787
clean,test,initial_list_status,categorical,0.47655669859825506,unstable,2,121342,282787
clean,test,collections_12_mths_ex_med,numeric,0.0,stable,1,121342,282787
clean,test,mths_since_last_major_derog,numeric,0.05329349694293191,stable,10,121342,282787
clean,test,application_type,categorical,0.0,stable,1,121342,282787
clean,test,acc_now_delinq,numeric,0.0,stable,1,121342,282787
clean,test,tot_coll_amt,numeric,0.0,stable,1,121342,282787
clean,test,tot_cur_bal,numeric,0.011982532347947788,stable,10,121342,282787
clean,test,total_rev_hi_lim,numeric,0.019256228148974135,stable,10,121342,282787
clean,test,acc_open_past_24mths,numeric,0.05776939415915126,stable,8,121342,282787
clean,test,avg_cur_bal,numeric,0.010047693048690937,stable,10,121342,282787
clean,test,bc_open_to_buy,numeric,0.016160225573856327,stable,10,121342,282787
clean,test,bc_util,numeric,0.04561718316125334,stable,10,121342,282787
clean,test,chargeoff_within_12_mths,numeric,0.0,stable,1,121342,282787
clean,test,delinq_amnt,numeric,0.0,stable,1,121342,282787
clean,test,mo_sin_old_il_acct,numeric,0.015973181399560197,stable,10,121342,282787
clean,test,mo_sin_old_rev_tl_op,numeric,0.02707303111508691,stable,10,121342,282787
clean,test,mo_sin_rcnt_rev_tl_op,numeric,0.010748613038844492,stable,10,121342,282787
clean,test,mo_sin_rcnt_tl,numeric,0.01881242479710468,stable,10,121342,282787
clean,test,mort_acc,numeric,0.009293315829830603,stable,5,121342,282787
clean,test,mths_since_recent_bc,numeric,0.021928173825275663,stable,10,121342,282787
clean,test,mths_since_recent_bc_dlq,numeric,0.010190381294466358,stable,10,121342,282787
clean,test,mths_since_recent_inq,numeric,0.006295153865915691,stable,10,121342,282787
clean,test,mths_since_recent_revol_delinq,numeric,0.018790369647962095,stable,10,121342,282787
clean,test,num_accts_ever_120_pd,numeric,0.02426751353441169,stable,2,121342,282787
clean,test,num_actv_bc_tl,numeric,0.013614007583916928,stable,7,121342,282787
clean,test,num_actv_rev_tl,numeric,0.014071307120255505,stable,9,121342,282787
clean,test,num_bc_sats,numeric,0.02283814653152972,stable,7,121342,282787
clean,test,num_bc_tl,numeric,0.055785025223997864,stable,10,121342,282787
clean,test,num_il_tl,numeric,0.012162754898793338,stable,10,121342,282787
clean,test,num_op_rev_tl,numeric,0.02139551630579529,stable,9,121342,282787
clean,test,num_rev_accts,numeric,0.022391495959638047,stable,10,121342,282787
clean,test,num_rev_tl_bal_gt_0,numeric,0.01229267099690707,stable,9,121342,282787
clean,test,num_sats,numeric,0.023534481283192084,stable,10,121342,282787
clean,test,num_tl_120dpd_2m,numeric,0.00013018429453034167,stable,2,121342,282787
clean,test,num_tl_30dpd,numeric,0.0,stable,1,121342,282787
clean,test,num_tl_90g_dpd_24m,numeric,0.0,stable,1,121342,282787
clean,test,num_tl_op_past_12m,numeric,0.05566160532641391,stable,5,121342,282787
clean,test,pct_tl_nvr_dlq,numeric,0.026671181087482565,stable,5,121342,282787
clean,test,percent_bc_gt_75,numeric,0.056013557341427704,stable,8,121342,282787
clean,test,pub_rec_bankruptcies,numeric,0.0,stable,1,121342,282787
clean,test,tax_liens,numeric,0.0,stable,1,121342,282787
clean,test,tot_hi_cred_lim,numeric,0.01601573338889101,stable,10,121342,282787
clean,test,total_bal_ex_mort,numeric,0.033994262078123415,stable,10,121342,282787
clean,test,total_bc_limit,numeric,0.01112909533838527,stable,10,121342,282787
clean,test,total_il_high_credit_limit,numeric,0.047066939408427155,stable,9,121342,282787
clean,test,emp_length_anos,numeric,0.022798532409450498,stable,7,121342,282787
clean,test,era_pre_2012,numeric,0.0,stable,1,121342,282787
clean,test,mths_since_last_delinq_missing,numeric,0.0,stable,1,121342,282787
clean,test,mths_since_last_record_missing,numeric,0.0,stable,1,121342,282787
clean,test,mths_since_recent_bc_dlq_missing,numeric,0.0,stable,1,121342,282787
clean,test,mths_since_recent_revol_delinq_missing,numeric,0.0,stable,1,121342,282787
clean,test,mths_since_last_major_derog_missing,numeric,0.0,stable,1,121342,282787
clean,test,emp_length_missing,numeric,0.0,stable,1,121342,282787
clean,test,mths_since_recent_inq_missing,numeric,0.0,stable,1,121342,282787
clean,test,num_tl_120dpd_2m_missing,numeric,0.0,stable,1,121342,282787
clean,test,sparse_bureau_missing,numeric,0.0,stable,1,121342,282787
clean,test,installment_to_income,numeric,0.020527996973519067,stable,10,121342,282787
clean,test,loan_to_income,numeric,0.012074384066675329,stable,10,121342,282787
clean,test,credit_history_months,numeric,0.02617383404474455,stable,10,121342,282787
clean,test,revol_bal_to_income,numeric,0.02478202261381345,stable,10,121342,282787
clean,test,open_acc_ratio,numeric,0.01103429381900915,stable,10,121342,282787
clean,test,model_score,numeric,0.001378159549992595,stable,10,121342,282787
