variant,comparison_split,feature,kind,psi,band,n_bins,n_baseline,n_comparison
raw,validation,emp_length_missing,numeric,0.0,stable,1,172988,162570
raw,validation,mths_since_recent_inq_missing,numeric,0.0,stable,1,172988,162570
raw,validation,num_tl_120dpd_2m_missing,numeric,0.0,stable,1,172988,162570
raw,validation,sparse_bureau_missing,numeric,0.0,stable,1,172988,162570
raw,validation,installment_to_income,numeric,0.004139971872228451,stable,10,172988,162570
raw,validation,loan_to_income,numeric,0.002904575814361269,stable,10,172988,162570
raw,validation,credit_history_months,numeric,0.046306398675576975,stable,10,172988,162570
raw,validation,revol_bal_to_income,numeric,0.010604024967189443,stable,10,172988,162570
raw,validation,open_acc_ratio,numeric,0.0002693075183203882,stable,10,172988,162570
raw,validation,model_score,numeric,0.0016748212911334767,stable,10,172988,162570
raw,test,funded_amnt,numeric,0.02332635817343024,stable,10,172988,282787
raw,test,home_ownership,categorical,0.014613507592059408,stable,4,172988,282787
raw,test,annual_inc,numeric,0.010629264697883393,stable,10,172988,282787
raw,test,verification_status,categorical,0.19699617728343483,attention,3,172988,282787
raw,test,issue_d,numeric,13.386611248313482,unstable,10,172988,282787
raw,test,purpose,categorical,0.02405553214317112,stable,11,172988,282787
raw,test,dti,numeric,0.08406328887238466,stable,10,172988,282787
raw,test,delinq_2yrs,numeric,0.01616106884443663,stable,2,172988,282787
raw,test,earliest_cr_line,numeric,0.06498521582093528,stable,10,172988,282787
raw,test,fico_range_low,numeric,0.055892524621711986,stable,10,172988,282787
raw,test,inq_last_6mths,numeric,0.04561872795981388,stable,3,172988,282787
raw,test,mths_since_last_delinq,numeric,0.04872361427656228,stable,10,172988,282787
raw,test,mths_since_last_record,numeric,0.19203437759718575,attention,10,172988,282787
raw,test,open_acc,numeric,0.04029796865812471,stable,10,172988,282787
raw,test,pub_rec,numeric,0.0,stable,1,172988,282787
raw,test,revol_bal,numeric,0.011077275856354773,stable,10,172988,282787
raw,test,revol_util,numeric,0.03639182707460579,stable,10,172988,282787
raw,test,total_acc,numeric,0.009000070409185405,stable,10,172988,282787
raw,test,initial_list_status,categorical,0.7695207575214371,unstable,2,172988,282787
raw,test,collections_12_mths_ex_med,numeric,0.0,stable,1,172988,282787
raw,test,mths_since_last_major_derog,numeric,0.15176442393550535,attention,10,172988,282787
raw,test,application_type,categorical,0.0,stable,1,172988,282787
raw,test,acc_now_delinq,numeric,0.0,stable,1,172988,282787
raw,test,tot_coll_amt,numeric,3.86961899673979,unstable,1,172988,282787
raw,test,tot_cur_bal,numeric,3.8798291663709663,unstable,10,172988,282787
raw,test,total_rev_hi_lim,numeric,3.8860988493343216,unstable,10,172988,282787
raw,test,acc_open_past_24mths,numeric,2.578055390736115,unstable,8,172988,282787
raw,test,avg_cur_bal,numeric,3.878500132784272,unstable,10,172988,282787
raw,test,bc_open_to_buy,numeric,0.6670464180552989,unstable,10,172988,282787
raw,test,bc_util,numeric,0.6785146832954337,unstable,10,172988,282787
raw,test,chargeoff_within_12_mths,numeric,0.0,stable,1,172988,282787
raw,test,delinq_amnt,numeric,0.0,stable,1,172988,282787
raw,test,mo_sin_old_il_acct,numeric,0.777535571273009,unstable,10,172988,282787
raw,test,mo_sin_old_rev_tl_op,numeric,3.892692920615781,unstable,10,172988,282787
raw,test,mo_sin_rcnt_rev_tl_op,numeric,3.878850369058934,unstable,10,172988,282787
raw,test,mo_sin_rcnt_tl,numeric,3.8855956239173635,unstable,10,172988,282787
raw,test,mort_acc,numeric,2.53552347795629,unstable,5,172988,282787
raw,test,mths_since_recent_bc,numeric,0.6729674116002476,unstable,10,172988,282787
raw,test,mths_since_recent_bc_dlq,numeric,0.06483414311411614,stable,10,172988,282787
raw,test,mths_since_recent_inq,numeric,0.23224533618173326,attention,10,172988,282787
raw,test,mths_since_recent_revol_delinq,numeric,0.07854097873459959,stable,10,172988,282787
raw,test,num_accts_ever_120_pd,numeric,3.890522679225196,unstable,2,172988,282787
raw,test,num_actv_bc_tl,numeric,3.8812177191890074,unstable,7,172988,282787
raw,test,num_actv_rev_tl,numeric,3.881619243583117,unstable,9,172988,282787
raw,test,num_bc_sats,numeric,3.104228360677434,unstable,7,172988,282787
